Dataset using: ../Dataset/input.pkl
start training model with fold  0
Train Epoch:32  |Loss: 0.868 | Train Acc: 0.675
Eval Epoch: 32 | Loss: 0.982 | Eval Acc: 0.475
Test Epoch: 32 | Loss: 0.974 | Test Acc: 0.625
Train Epoch:33  |Loss: 0.882 | Train Acc: 0.608
Eval Epoch: 33 | Loss: 0.936 | Eval Acc: 0.525
Test Epoch: 33 | Loss: 0.888 | Test Acc: 0.625
Train Epoch:34  |Loss: 0.855 | Train Acc: 0.608
Eval Epoch: 34 | Loss: 1.097 | Eval Acc: 0.625
Test Epoch: 34 | Loss: 1.015 | Test Acc: 0.600
Train Epoch:35  |Loss: 0.853 | Train Acc: 0.650
Eval Epoch: 35 | Loss: 0.925 | Eval Acc: 0.500
Test Epoch: 35 | Loss: 0.913 | Test Acc: 0.600
Train Epoch:36  |Loss: 0.811 | Train Acc: 0.683
Eval Epoch: 36 | Loss: 0.981 | Eval Acc: 0.575
Test Epoch: 36 | Loss: 0.916 | Test Acc: 0.600
Train Epoch:37  |Loss: 0.775 | Train Acc: 0.725
Eval Epoch: 37 | Loss: 0.959 | Eval Acc: 0.550
Test Epoch: 37 | Loss: 0.888 | Test Acc: 0.625
Train Epoch:38  |Loss: 0.743 | Train Acc: 0.717
Eval Epoch: 38 | Loss: 0.930 | Eval Acc: 0.575
Test Epoch: 38 | Loss: 0.917 | Test Acc: 0.625
Train Epoch:39  |Loss: 0.753 | Train Acc: 0.683
Eval Epoch: 39 | Loss: 0.934 | Eval Acc: 0.525
Test Epoch: 39 | Loss: 0.926 | Test Acc: 0.625
Train Epoch:40  |Loss: 0.752 | Train Acc: 0.683
Eval Epoch: 40 | Loss: 0.976 | Eval Acc: 0.575
Test Epoch: 40 | Loss: 0.886 | Test Acc: 0.550
saving last....
Train Epoch:41  |Loss: 0.721 | Train Acc: 0.692
Eval Epoch: 41 | Loss: 1.024 | Eval Acc: 0.625
Test Epoch: 41 | Loss: 0.974 | Test Acc: 0.625
Train Epoch:42  |Loss: 0.707 | Train Acc: 0.758
Eval Epoch: 42 | Loss: 0.921 | Eval Acc: 0.600
Test Epoch: 42 | Loss: 0.876 | Test Acc: 0.550
Train Epoch:43  |Loss: 0.737 | Train Acc: 0.692
Eval Epoch: 43 | Loss: 1.046 | Eval Acc: 0.625
Test Epoch: 43 | Loss: 0.990 | Test Acc: 0.625
Train Epoch:44  |Loss: 0.673 | Train Acc: 0.758
Eval Epoch: 44 | Loss: 0.916 | Eval Acc: 0.550
Test Epoch: 44 | Loss: 0.889 | Test Acc: 0.600
Train Epoch:45  |Loss: 0.671 | Train Acc: 0.733
Eval Epoch: 45 | Loss: 0.941 | Eval Acc: 0.500
Test Epoch: 45 | Loss: 0.955 | Test Acc: 0.600
Train Epoch:46  |Loss: 0.649 | Train Acc: 0.750
Eval Epoch: 46 | Loss: 0.926 | Eval Acc: 0.500
Test Epoch: 46 | Loss: 0.955 | Test Acc: 0.600
Train Epoch:47  |Loss: 0.682 | Train Acc: 0.742
Eval Epoch: 47 | Loss: 0.956 | Eval Acc: 0.600
Test Epoch: 47 | Loss: 0.939 | Test Acc: 0.575
Train Epoch:48  |Loss: 0.686 | Train Acc: 0.675
Eval Epoch: 48 | Loss: 0.952 | Eval Acc: 0.575
Test Epoch: 48 | Loss: 0.979 | Test Acc: 0.575
Train Epoch:49  |Loss: 0.623 | Train Acc: 0.808
Eval Epoch: 49 | Loss: 0.975 | Eval Acc: 0.575
Test Epoch: 49 | Loss: 0.990 | Test Acc: 0.575
Train Epoch:50  |Loss: 0.613 | Train Acc: 0.767
Eval Epoch: 50 | Loss: 0.959 | Eval Acc: 0.550
Test Epoch: 50 | Loss: 0.981 | Test Acc: 0.575
saving last....
Train Epoch:51  |Loss: 0.594 | Train Acc: 0.808
Eval Epoch: 51 | Loss: 1.003 | Eval Acc: 0.650
Test Epoch: 51 | Loss: 0.980 | Test Acc: 0.500
saving best....
Train Epoch:52  |Loss: 0.613 | Train Acc: 0.775
Eval Epoch: 52 | Loss: 1.091 | Eval Acc: 0.650
Test Epoch: 52 | Loss: 1.066 | Test Acc: 0.550
Train Epoch:53  |Loss: 0.579 | Train Acc: 0.792
Eval Epoch: 53 | Loss: 1.136 | Eval Acc: 0.575
Test Epoch: 53 | Loss: 1.065 | Test Acc: 0.550
Train Epoch:54  |Loss: 0.606 | Train Acc: 0.742
Eval Epoch: 54 | Loss: 0.985 | Eval Acc: 0.600
Test Epoch: 54 | Loss: 0.992 | Test Acc: 0.600
Train Epoch:55  |Loss: 0.652 | Train Acc: 0.708
Eval Epoch: 55 | Loss: 1.595 | Eval Acc: 0.600
Test Epoch: 55 | Loss: 1.492 | Test Acc: 0.550
Train Epoch:56  |Loss: 0.687 | Train Acc: 0.683
Eval Epoch: 56 | Loss: 1.045 | Eval Acc: 0.650
Test Epoch: 56 | Loss: 1.050 | Test Acc: 0.500
Train Epoch:57  |Loss: 0.710 | Train Acc: 0.783
Eval Epoch: 57 | Loss: 0.916 | Eval Acc: 0.500
Test Epoch: 57 | Loss: 0.994 | Test Acc: 0.550
Train Epoch:58  |Loss: 0.567 | Train Acc: 0.767
Eval Epoch: 58 | Loss: 0.989 | Eval Acc: 0.450
Test Epoch: 58 | Loss: 1.099 | Test Acc: 0.600
Train Epoch:59  |Loss: 0.651 | Train Acc: 0.742
Eval Epoch: 59 | Loss: 0.936 | Eval Acc: 0.500
Test Epoch: 59 | Loss: 1.028 | Test Acc: 0.550
