Dataset using: ../Dataset/ablation_test.pkl
(200, 2)
start training model with fold  0
Eval Epoch: 32 | Loss: 1.019 | Eval Acc: 0.500
Test Epoch: 32 | Loss: 1.023 | Test Acc: 0.500
Train Epoch:33  |Loss: 0.958 | Train Acc: 0.508
Eval Epoch: 33 | Loss: 1.025 | Eval Acc: 0.500
Test Epoch: 33 | Loss: 1.029 | Test Acc: 0.500
Train Epoch:34  |Loss: 0.955 | Train Acc: 0.508
Eval Epoch: 34 | Loss: 1.023 | Eval Acc: 0.475
Test Epoch: 34 | Loss: 1.027 | Test Acc: 0.500
Train Epoch:35  |Loss: 0.953 | Train Acc: 0.508
Eval Epoch: 35 | Loss: 1.014 | Eval Acc: 0.500
Test Epoch: 35 | Loss: 1.020 | Test Acc: 0.500
Train Epoch:36  |Loss: 0.949 | Train Acc: 0.508
Eval Epoch: 36 | Loss: 1.018 | Eval Acc: 0.500
Test Epoch: 36 | Loss: 1.023 | Test Acc: 0.525
Train Epoch:37  |Loss: 0.945 | Train Acc: 0.525
Eval Epoch: 37 | Loss: 1.016 | Eval Acc: 0.500
Test Epoch: 37 | Loss: 1.022 | Test Acc: 0.525
Train Epoch:38  |Loss: 0.939 | Train Acc: 0.525
Eval Epoch: 38 | Loss: 1.008 | Eval Acc: 0.500
Test Epoch: 38 | Loss: 1.017 | Test Acc: 0.525
Train Epoch:39  |Loss: 0.938 | Train Acc: 0.508
Eval Epoch: 39 | Loss: 1.007 | Eval Acc: 0.500
Test Epoch: 39 | Loss: 1.016 | Test Acc: 0.500
Train Epoch:40  |Loss: 0.935 | Train Acc: 0.517
Eval Epoch: 40 | Loss: 1.005 | Eval Acc: 0.500
Test Epoch: 40 | Loss: 1.014 | Test Acc: 0.525
saving last....
Train Epoch:41  |Loss: 0.930 | Train Acc: 0.533
Eval Epoch: 41 | Loss: 1.004 | Eval Acc: 0.500
Test Epoch: 41 | Loss: 1.014 | Test Acc: 0.525
Train Epoch:42  |Loss: 0.926 | Train Acc: 0.542
Eval Epoch: 42 | Loss: 0.998 | Eval Acc: 0.500
Test Epoch: 42 | Loss: 1.010 | Test Acc: 0.525
Train Epoch:43  |Loss: 0.924 | Train Acc: 0.525
Eval Epoch: 43 | Loss: 0.993 | Eval Acc: 0.500
Test Epoch: 43 | Loss: 1.007 | Test Acc: 0.525
Train Epoch:44  |Loss: 0.921 | Train Acc: 0.533
Eval Epoch: 44 | Loss: 0.994 | Eval Acc: 0.500
Test Epoch: 44 | Loss: 1.008 | Test Acc: 0.525
Train Epoch:45  |Loss: 0.922 | Train Acc: 0.558
Eval Epoch: 45 | Loss: 0.986 | Eval Acc: 0.525
Test Epoch: 45 | Loss: 1.002 | Test Acc: 0.525
saving best....
Train Epoch:46  |Loss: 0.918 | Train Acc: 0.550
Eval Epoch: 46 | Loss: 0.995 | Eval Acc: 0.525
Test Epoch: 46 | Loss: 1.011 | Test Acc: 0.525
Train Epoch:47  |Loss: 0.910 | Train Acc: 0.558
Eval Epoch: 47 | Loss: 0.982 | Eval Acc: 0.525
Test Epoch: 47 | Loss: 1.001 | Test Acc: 0.525
Train Epoch:48  |Loss: 0.907 | Train Acc: 0.575
Eval Epoch: 48 | Loss: 0.979 | Eval Acc: 0.525
Test Epoch: 48 | Loss: 1.000 | Test Acc: 0.525
Train Epoch:49  |Loss: 0.902 | Train Acc: 0.583
Eval Epoch: 49 | Loss: 0.977 | Eval Acc: 0.525
Test Epoch: 49 | Loss: 0.998 | Test Acc: 0.525
Train Epoch:50  |Loss: 0.899 | Train Acc: 0.583
Eval Epoch: 50 | Loss: 0.979 | Eval Acc: 0.550
Test Epoch: 50 | Loss: 1.001 | Test Acc: 0.525
saving best....
Train Epoch:51  |Loss: 0.895 | Train Acc: 0.583
Eval Epoch: 51 | Loss: 0.976 | Eval Acc: 0.550
Test Epoch: 51 | Loss: 1.000 | Test Acc: 0.525
Train Epoch:52  |Loss: 0.899 | Train Acc: 0.583
Eval Epoch: 52 | Loss: 0.963 | Eval Acc: 0.575
Test Epoch: 52 | Loss: 0.992 | Test Acc: 0.500
saving best....
Train Epoch:53  |Loss: 0.887 | Train Acc: 0.625
Eval Epoch: 53 | Loss: 0.966 | Eval Acc: 0.550
Test Epoch: 53 | Loss: 0.994 | Test Acc: 0.525
Train Epoch:54  |Loss: 0.886 | Train Acc: 0.617
Eval Epoch: 54 | Loss: 0.970 | Eval Acc: 0.550
Test Epoch: 54 | Loss: 0.999 | Test Acc: 0.550
Train Epoch:55  |Loss: 0.883 | Train Acc: 0.608
Eval Epoch: 55 | Loss: 0.955 | Eval Acc: 0.575
Test Epoch: 55 | Loss: 0.988 | Test Acc: 0.525
Train Epoch:56  |Loss: 0.882 | Train Acc: 0.608
Eval Epoch: 56 | Loss: 0.953 | Eval Acc: 0.600
Test Epoch: 56 | Loss: 0.987 | Test Acc: 0.525
saving best....
Train Epoch:57  |Loss: 0.873 | Train Acc: 0.608
Eval Epoch: 57 | Loss: 0.955 | Eval Acc: 0.575
Test Epoch: 57 | Loss: 0.991 | Test Acc: 0.525
Train Epoch:58  |Loss: 0.871 | Train Acc: 0.625
Eval Epoch: 58 | Loss: 0.946 | Eval Acc: 0.575
Test Epoch: 58 | Loss: 0.986 | Test Acc: 0.525
Train Epoch:59  |Loss: 0.868 | Train Acc: 0.617
Eval Epoch: 59 | Loss: 0.947 | Eval Acc: 0.550
Test Epoch: 59 | Loss: 0.987 | Test Acc: 0.525
Train Epoch:60  |Loss: 0.865 | Train Acc: 0.617
Eval Epoch: 60 | Loss: 0.945 | Eval Acc: 0.575
Test Epoch: 60 | Loss: 0.987 | Test Acc: 0.550
saving last....
Train Epoch:61  |Loss: 0.862 | Train Acc: 0.592
Eval Epoch: 61 | Loss: 0.932 | Eval Acc: 0.550
Test Epoch: 61 | Loss: 0.978 | Test Acc: 0.475
Train Epoch:62  |Loss: 0.861 | Train Acc: 0.608
